Station,Latitude,Longitude,Data Acquisition Time,temperature_c,humidity_pct,wind_speed_kmh,wind_direction_deg
Almora_1,29.59631389,79.65005556,2023-01-16 08:00:00,3.0,91,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-16 09:00:00,6.2,79,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-16 10:00:00,10.5,57,0.4,359
Almora_1,29.59631389,79.65005556,2023-01-16 11:00:00,11.8,57,0.7,348
Almora_1,29.59631389,79.65005556,2023-01-16 12:00:00,11.7,67,1.3,23
Almora_1,29.59631389,79.65005556,2023-01-16 13:00:00,11.2,73,0.8,277
Almora_1,29.59631389,79.65005556,2023-01-17 06:00:00,2.5,90,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-17 07:00:00,2.8,91,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-17 08:00:00,2.4,91,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-17 09:00:00,4.6,92,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-17 10:00:00,7.6,79,0.4,359
Almora_1,29.59631389,79.65005556,2023-01-17 11:00:00,9.5,72,0.4,359
Almora_1,29.59631389,79.65005556,2023-01-17 12:00:00,10.4,70,1.1,251
Almora_1,29.59631389,79.65005556,2023-01-17 13:00:00,11.3,66,0.7,221
Almora_1,29.59631389,79.65005556,2023-01-17 14:00:00,10.1,69,0.6,350
Almora_1,29.59631389,79.65005556,2023-01-17 15:00:00,9.5,72,0.5,349
Almora_1,29.59631389,79.65005556,2023-01-17 16:00:00,8.4,77,0.6,40
Almora_1,29.59631389,79.65005556,2023-01-17 17:00:00,7.5,80,0.7,73
Almora_1,29.59631389,79.65005556,2023-01-17 18:00:00,6.4,83,0.0,0
Almora_1,29.59631389,79.65005556,2023-01-17 19:00:00,5.0,87,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-17 20:00:00,4.3,90,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-17 21:00:00,3.3,89,0.0,0
Almora_1,29.59631389,79.65005556,2023-01-17 22:00:00,3.3,90,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-17 23:00:00,2.8,91,0.0,0
Almora_1,29.59631389,79.65005556,2023-01-18 00:00:00,2.3,91,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-18 01:00:00,2.3,91,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-18 02:00:00,2.3,91,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-18 03:00:00,1.6,91,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-18 04:00:00,1.7,91,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-18 05:00:00,1.0,90,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-18 06:00:00,1.1,91,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-18 07:00:00,1.4,91,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-18 08:00:00,2.5,91,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-18 09:00:00,5.4,82,0.5,245
Almora_1,29.59631389,79.65005556,2023-01-18 10:00:00,9.6,63,0.6,119
Almora_1,29.59631389,79.65005556,2023-01-18 11:00:00,12.7,54,0.8,332
Almora_1,29.59631389,79.65005556,2023-01-18 12:00:00,12.5,57,1.2,344
Almora_1,29.59631389,79.65005556,2023-01-18 13:00:00,13.0,57,1.7,318
Almora_1,29.59631389,79.65005556,2023-01-18 14:00:00,12.7,58,0.9,328
Almora_1,29.59631389,79.65005556,2023-01-18 15:00:00,12.8,58,0.6,273
Almora_1,29.59631389,79.65005556,2023-01-18 16:00:00,10.0,67,0.4,359
Almora_1,29.59631389,79.65005556,2023-01-18 17:00:00,8.6,75,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-18 22:00:00,3.9,88,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-18 23:00:00,3.6,89,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-19 02:00:00,5.0,78,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-19 06:00:00,6.5,68,0.4,359
Almora_1,29.59631389,79.65005556,2023-01-19 07:00:00,6.7,70,0.8,111
Almora_1,29.59631389,79.65005556,2023-01-19 08:00:00,9.0,61,0.7,73
Almora_1,29.59631389,79.65005556,2023-01-19 09:00:00,9.6,65,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-19 10:00:00,9.9,67,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-19 11:00:00,9.4,64,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-19 12:00:00,12.2,59,1.1,339
Almora_1,29.59631389,79.65005556,2023-01-19 13:00:00,12.9,59,1.2,338
Almora_1,29.59631389,79.65005556,2023-01-19 14:00:00,11.9,63,0.5,232
Almora_1,29.59631389,79.65005556,2023-01-19 15:00:00,12.5,64,0.7,61
Almora_1,29.59631389,79.65005556,2023-01-19 16:00:00,11.7,69,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-19 17:00:00,10.9,73,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-19 20:00:00,7.6,84,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-20 00:00:00,7.7,79,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-20 02:00:00,8.0,74,0.0,0
Almora_1,29.59631389,79.65005556,2023-01-22 07:00:00,4.6,90,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-22 09:00:00,8.2,83,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-22 10:00:00,14.2,54,0.4,359
Almora_1,29.59631389,79.65005556,2023-01-22 11:00:00,15.2,49,0.6,359
Almora_1,29.59631389,79.65005556,2023-01-22 12:00:00,14.9,52,0.5,282
Almora_1,29.59631389,79.65005556,2023-01-22 13:00:00,15.2,50,1.5,284
Almora_1,29.59631389,79.65005556,2023-01-22 16:00:00,14.1,61,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-22 17:00:00,12.2,69,0.4,359
Almora_1,29.59631389,79.65005556,2023-01-22 18:00:00,10.0,77,0.5,108
Almora_1,29.59631389,79.65005556,2023-01-22 19:00:00,8.5,84,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-22 22:00:00,6.9,79,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-23 00:00:00,6.2,80,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-23 01:00:00,5.6,82,0.0,0
Almora_1,29.59631389,79.65005556,2023-01-23 02:00:00,5.6,81,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-23 03:00:00,5.7,81,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-23 05:00:00,5.8,83,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-23 06:00:00,6.0,73,0.5,107
Almora_1,29.59631389,79.65005556,2023-01-23 07:00:00,5.7,80,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-23 08:00:00,6.1,79,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-23 09:00:00,9.4,69,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-23 10:00:00,14.9,38,0.4,359
Almora_1,29.59631389,79.65005556,2023-01-23 11:00:00,17.4,38,0.8,358
Almora_1,29.59631389,79.65005556,2023-01-23 12:00:00,18.1,38,0.7,311
Almora_1,29.59631389,79.65005556,2023-01-23 13:00:00,18.7,35,0.9,222
Almora_1,29.59631389,79.65005556,2023-01-23 18:00:00,11.8,61,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-23 19:00:00,9.7,71,0.6,78
Almora_1,29.59631389,79.65005556,2023-01-23 20:00:00,8.6,77,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-24 02:00:00,9.4,77,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-24 03:00:00,10.0,74,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-24 04:00:00,9.7,79,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-24 07:00:00,10.0,67,0.5,337
Almora_1,29.59631389,79.65005556,2023-01-24 09:00:00,8.8,81,0.6,283
Almora_1,29.59631389,79.65005556,2023-01-24 13:00:00,15.6,59,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-24 14:00:00,13.9,75,1.1,116
Almora_1,29.59631389,79.65005556,2023-01-24 15:00:00,15.7,62,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-24 18:00:00,11.8,87,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-24 19:00:00,10.7,84,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-24 20:00:00,10.8,77,0.5,121
Almora_1,29.59631389,79.65005556,2023-01-24 23:00:00,11.2,79,0.4,359
Almora_1,29.59631389,79.65005556,2023-01-25 00:00:00,10.0,88,0.6,101
Almora_1,29.59631389,79.65005556,2023-01-25 02:00:00,10.2,88,0.7,98
Almora_1,29.59631389,79.65005556,2023-01-25 03:00:00,10.4,87,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-25 04:00:00,9.8,89,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-25 06:00:00,9.9,87,0.5,93
Almora_1,29.59631389,79.65005556,2023-01-25 08:00:00,9.5,87,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-25 09:00:00,12.0,78,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-25 10:00:00,13.6,75,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-25 11:00:00,15.2,64,0.7,286
Almora_1,29.59631389,79.65005556,2023-01-25 12:00:00,13.5,79,1.8,9
Almora_1,29.59631389,79.65005556,2023-01-25 13:00:00,15.5,72,1.1,319
Almora_1,29.59631389,79.65005556,2023-01-25 14:00:00,16.2,74,1.3,323
Almora_1,29.59631389,79.65005556,2023-01-25 15:00:00,15.3,77,0.5,257
Almora_1,29.59631389,79.65005556,2023-01-25 16:00:00,14.8,79,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-25 17:00:00,14.1,78,0.9,73
Almora_1,29.59631389,79.65005556,2023-01-25 18:00:00,12.1,86,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-25 19:00:00,10.7,89,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-25 20:00:00,10.1,91,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-25 21:00:00,9.6,91,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-25 22:00:00,9.3,92,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-25 23:00:00,8.8,92,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-26 00:00:00,8.5,92,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-26 01:00:00,8.2,92,0.0,0
Almora_1,29.59631389,79.65005556,2023-01-26 02:00:00,7.9,92,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-26 03:00:00,7.4,92,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-26 04:00:00,7.3,92,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-26 05:00:00,7.3,92,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-26 06:00:00,7.1,92,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-26 07:00:00,7.1,92,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-26 08:00:00,7.9,92,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-26 09:00:00,9.9,92,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-26 10:00:00,15.0,71,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-26 11:00:00,18.5,54,0.7,279
Almora_1,29.59631389,79.65005556,2023-01-26 12:00:00,17.8,59,0.5,301
