Sl.No.,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material Involved,Movement Type,History
33462,UK/CHA/53N08/2018/41,Uttarakhand,Chamoli,Angtoli,Raingao-Maikot-Ghat,30.236533,79.441143,Rock,Slide,2017
33477,UK/CHA/53N08/2018/56,Uttarakhand,Chamoli,Kundi,Kundi-Dhurmo,30.242444,79.399917,Debris,Slide,
33483,UK/CHA/53N08/2018/57,Uttarakhand,Chamoli,Sunbhi,Kundi-Dhurmo,30.243806,79.40025,Debris,Slide,
33485,UK/CHA/53N08/2018/59,Uttarakhand,Chamoli,Sunbhi,Kundi-Dhurmo,30.243977,79.403494,Rock,Slide,
33487,UK/CHA/53N08/2018/58,Uttarakhand,Chamoli,Sunbhi,Kundi-Dhurmo,30.244278,79.400278,Debris,Slide,
33494,UK/CHA/53N08/2018/60,Uttarakhand,Chamoli,Sunbhi,Kundi-Dhurmo,30.248146,79.401708,Rock,Slide,
33496,UK/CHA/53N08/2018/61,Uttarakhand,Chamoli,Sunbhi,Kundi-Dhurmo,30.248574,79.402567,Rock,Slide,
33504,UK/CHA/53N04/2013/0054,Uttarakhand,Chamoli,UK_CHA_NH_ 054,Between Simli and Karnprayag,30.250972,79.228278,Debris,Slide,16th-17th June 2013
33506,UK/CHA/53N03/2015/673,Uttarakhand,Chamoli,,,30.251451,79.214928,Rock,Slide,
33512,UK/CHA/53N03/2015/661,Uttarakhand,Chamoli,,,30.254083,79.130861,Rock,Slide,
33514,UK/CHA/53N03/2015/672,Uttarakhand,Chamoli,,,30.254417,79.216472,Debris,Slide,
33516,UK/CHA/53N03/2015/671,Uttarakhand,Chamoli,,,30.255889,79.218167,Debris,Slide,
33520,UK/CHA/53N03/2015/655,Uttarakhand,Chamoli,,,30.260222,79.160222,Debris,Slide,
33524,UK/CHA/53N03/2015/656,Uttarakhand,Chamoli,,,30.261611,79.159361,Debris,Slide,
33525,UK/CHA/53N03/2015/669,Uttarakhand,Chamoli,,National Highway-58,30.2625,79.213806,Rock,Flow,
33526,UK/CHA/53N03/2015/670,Uttarakhand,Chamoli,,National Highway-58,30.262583,79.214861,Rock,Slide,
33529,UK/CHA/53N03/2015/674,Uttarakhand,Chamoli,,National Highway-58,30.263533,79.213708,Rock,Slide,
33530,UK/CHA/53N03/2015/657,Uttarakhand,Chamoli,,,30.263583,79.157194,Rock,Slide,
33535,UK/CHA/53N03/2015/660,Uttarakhand,Chamoli,,,30.265222,79.149139,Rock,Slide,
33539,UK/CHA/53N03/2015/658,Uttarakhand,Chamoli,,,30.266056,79.153,Rock,Slide,
33541,UK/CHA/53N03/2015/664,Uttarakhand,Chamoli,,National Highway-58,30.266667,79.176,Rock,Slide,
33542,UK/CHA/53N03/2015/668,Uttarakhand,Chamoli,,National Highway-58,30.266722,79.19175,Debris,Slide,
33543,UK/CHA/53N03/2015/663,Uttarakhand,Chamoli,,National Highway-58,30.266769,79.17155,Rock,Slide,
33544,UK/CHA/53N03/2015/697,Uttarakhand,Chamoli,,,30.266972,79.218,Debris,Slide,
